iter	Passed	Remaining
513	1357	1283
514	1360	1281
515	1362	1278
516	1365	1275
517	1368	1272
518	1370	1270
519	1373	1267
520	1375	1264
521	1378	1262
522	1380	1259
523	1383	1256
524	1385	1253
525	1387	1250
526	1390	1248
527	1393	1245
528	1395	1242
529	1397	1239
530	1399	1236
531	1402	1233
532	1404	1230
533	1407	1228
534	1410	1225
535	1412	1222
536	1415	1220
537	1417	1217
538	1420	1215
539	1423	1212
540	1425	1209
541	1428	1206
542	1431	1204
543	1433	1201
544	1436	1199
545	1438	1196
546	1441	1193
547	1443	1190
548	1446	1188
549	1449	1185
550	1451	1183
551	1454	1180
552	1456	1177
553	1459	1174
554	1462	1172
555	1465	1170
556	1468	1167
557	1470	1164
558	1473	1162
559	1475	1159
560	1478	1156
561	1480	1153
562	1483	1151
563	1485	1148
564	1488	1145
565	1490	1143
566	1493	1140
567	1496	1137
568	1498	1135
569	1501	1132
570	1503	1129
571	1506	1127
572	1509	1124
573	1511	1121
574	1514	1119
575	1517	1116
576	1520	1114
577	1522	1111
578	1525	1108
579	1527	1106
580	1530	1103
581	1532	1100
582	1535	1098
583	1538	1095
584	1540	1092
585	1542	1090
586	1545	1087
587	1547	1084
588	1550	1081
589	1552	1079
590	1555	1076
591	1557	1073
592	1560	1070
593	1562	1068
594	1565	1065
595	1567	1062
596	1570	1060
597	1572	1057
598	1575	1054
599	1577	1051
600	1580	1049
601	1583	1046
602	1585	1043
603	1588	1041
604	1590	1038
605	1593	1035
606	1595	1033
607	1598	1030
608	1601	1028
609	1603	1025
610	1606	1022
611	1608	1019
612	1611	1017
613	1613	1014
614	1616	1011
615	1618	1009
616	1621	1006
617	1623	1003
618	1626	1000
619	1628	998
620	1630	995
621	1633	992
622	1636	990
623	1638	987
624	1641	984
625	1643	982
626	1646	979
627	1648	976
628	1651	973
629	1653	971
630	1656	968
631	1658	965
632	1661	963
633	1663	960
634	1666	957
635	1668	955
636	1670	952
637	1673	949
638	1676	946
639	1678	944
640	1681	941
641	1683	938
642	1686	936
643	1689	933
644	1692	931
645	1694	928
646	1697	925
647	1699	923
648	1702	920
649	1704	917
650	1707	915
651	1709	912
652	1712	909
653	1715	907
654	1717	904
655	1720	902
656	1722	899
657	1725	896
658	1727	894
659	1730	891
660	1733	889
661	1736	886
662	1738	883
663	1741	881
664	1744	878
665	1746	875
666	1749	873
667	1751	870
668	1754	867
669	1756	865
670	1759	862
671	1761	859
672	1764	857
673	1766	854
674	1769	851
675	1771	849
676	1775	846
677	1777	844
678	1780	841
679	1782	838
680	1785	836
681	1787	833
682	1790	830
683	1792	828
684	1795	825
685	1797	822
686	1800	820
687	1803	817
688	1806	815
689	1808	812
690	1811	809
691	1813	807
692	1816	804
693	1819	802
694	1821	799
695	1824	796
696	1826	794
697	1829	791
698	1831	788
699	1834	786
700	1836	783
701	1839	780
702	1842	778
703	1844	775
704	1847	772
705	1849	770
706	1852	767
707	1854	764
708	1857	762
709	1859	759
710	1862	756
711	1864	754
712	1867	751
713	1869	748
714	1872	746
715	1874	743
716	1877	740
717	1879	738
718	1882	735
719	1884	733
720	1887	730
721	1889	727
722	1892	725
723	1895	722
724	1897	719
725	1900	717
726	1903	714
727	1905	711
728	1908	709
729	1910	706
730	1913	704
731	1916	701
732	1918	698
733	1921	696
734	1923	693
735	1926	691
736	1928	688
737	1931	685
738	1933	683
739	1936	680
740	1938	677
741	1941	675
742	1943	672
743	1946	669
744	1948	667
745	1951	664
746	1953	661
747	1956	659
748	1958	656
749	1961	653
750	1963	651
751	1966	648
752	1969	645
753	1971	643
754	1974	640
755	1977	638
756	1979	635
757	1982	632
758	1984	630
759	1987	627
760	1989	624
761	1992	622
762	1995	619
763	1997	617
764	2000	614
765	2002	611
766	2005	609
767	2008	606
768	2010	603
769	2013	601
770	2015	598
771	2018	596
772	2020	593
773	2023	590
774	2025	588
775	2028	585
776	2030	582
777	2033	580
778	2035	577
779	2038	574
780	2040	572
781	2043	569
782	2046	567
783	2048	564
784	2051	561
785	2054	559
786	2056	556
787	2059	553
788	2061	551
789	2064	548
790	2066	546
791	2069	543
792	2071	540
793	2074	538
794	2076	535
795	2079	532
796	2081	530
797	2084	527
798	2086	525
799	2089	522
800	2091	519
801	2094	517
802	2096	514
803	2099	511
804	2102	509
805	2104	506
806	2107	503
807	2109	501
808	2112	498
809	2113	495
810	2116	493
811	2118	490
812	2121	488
813	2124	485
814	2126	482
815	2129	480
816	2131	477
817	2134	474
818	2136	472
819	2139	469
820	2141	466
821	2143	464
822	2146	461
823	2148	459
824	2151	456
825	2153	453
826	2156	451
827	2158	448
828	2161	445
829	2164	443
830	2166	440
831	2168	437
832	2171	435
833	2173	432
834	2176	430
835	2178	427
836	2181	424
837	2183	422
838	2186	419
839	2188	416
840	2191	414
841	2193	411
842	2196	409
843	2199	406
844	2201	403
845	2204	401
846	2206	398
847	2209	396
848	2211	393
849	2214	390
850	2217	388
851	2219	385
852	2223	383
853	2225	380
854	2228	377
855	2230	375
856	2233	372
857	2235	370
858	2238	367
859	2241	364
860	2243	362
861	2246	359
862	2248	357
863	2252	354
864	2254	351
865	2257	349
866	2259	346
867	2261	343
868	2264	341
869	2267	338
870	2270	336
871	2272	333
872	2275	330
873	2277	328
874	2279	325
875	2282	323
876	2284	320
877	2287	317
878	2290	315
879	2292	312
880	2295	310
881	2297	307
882	2300	304
883	2302	302
884	2305	299
885	2308	297
886	2311	294
887	2313	291
888	2316	289
889	2318	286
890	2321	283
891	2323	281
892	2326	278
893	2329	276
894	2331	273
895	2334	270
896	2336	268
897	2339	265
898	2341	263
899	2344	260
900	2347	257
901	2349	255
902	2352	252
903	2354	250
904	2357	247
905	2359	244
906	2362	242
907	2365	239
908	2367	237
909	2370	234
910	2372	231
911	2375	229
912	2377	226
913	2380	223
914	2382	221
915	2385	218
916	2387	216
917	2390	213
918	2392	210
919	2395	208
920	2397	205
921	2400	203
922	2403	200
923	2405	197
924	2408	195
925	2410	192
926	2413	190
927	2415	187
928	2418	184
929	2420	182
930	2423	179
931	2425	176
932	2428	174
933	2430	171
934	2433	169
935	2435	166
936	2438	163
937	2440	161
938	2443	158
939	2446	156
940	2448	153
941	2451	150
942	2453	148
943	2456	145
944	2458	143
945	2461	140
946	2463	137
947	2466	135
948	2468	132
949	2471	130
950	2473	127
951	2476	124
952	2478	122
953	2481	119
954	2483	117
955	2486	114
956	2489	111
957	2491	109
958	2494	106
959	2496	104
960	2499	101
961	2502	98
962	2505	96
963	2507	93
964	2509	91
965	2512	88
966	2514	85
967	2517	83
968	2519	80
969	2522	78
970	2525	75
971	2527	72
972	2530	70
973	2532	67
974	2535	65
975	2537	62
976	2540	59
977	2543	57
978	2545	54
979	2548	52
980	2550	49
981	2553	46
982	2556	44
983	2558	41
984	2561	39
985	2563	36
986	2566	33
987	2568	31
988	2571	28
989	2573	25
990	2576	23
991	2578	20
992	2581	18
993	2583	15
994	2586	12
995	2588	10
996	2591	7
997	2594	5
998	2596	2
999	2599	0
